Commodity,Attribute,Country,1960/1961,1961/1962,1962/1963,1963/1964,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026,Unit Description
Barley,Ending Stocks,World,9582.0,8826.0,10094.0,11391.0,17799.0,11599.0,13529.0,14418.0,18118.0,19531.0,15394.0,17739.0,16976.0,16763.0,16132.0,14043.0,18782.0,16839.0,19941.0,15184.0,14203.0,12832.0,16732.0,12600.0,15817.0,19886.0,24992.0,25698.0,22872.0,19660.0,22008.0,21441.0,22937.0,24445.0,23095.0,15128.0,17948.0,19789.0,15225.0,12185.0,13493.0,19104.0,18842.0,18937.0,21985.0,19776.0,15828.0,14912.0,21330.0,21099.0,15592.0,15704.0,16436.0,19158.0,17821.0,19410.0,18079.0,16123.0,14614.0,16715.0,16390.0,13256.0,15127.0,16371.0,12798.0,14216.0,(1000 MT)
Corn,Ending Stocks,World,58425.0,53584.0,46021.0,50557.0,41091.0,31616.0,36121.0,44331.0,41096.0,37633.0,33019.0,45458.0,33933.0,34283.0,40220.0,47614.0,62961.0,70771.0,85615.0,104547.0,95925.0,120321.0,142786.0,84090.0,111919.0,171382.0,198591.0,192103.0,140914.0,128070.0,139385.0,136222.0,158703.0,126291.0,150600.0,131280.0,163731.0,163847.0,189049.0,189287.0,171901.0,147489.0,120929.0,101179.0,122710.0,113537.0,101027.0,120635.0,129517.0,125913.0,109625.0,116166.0,140384.0,209149.0,270311.0,306434.0,343597.0,333252.0,319131.0,307149.0,289469.0,302764.0,297339.0,308129.0,288482.0,285045.0,(1000 MT)
Millet,Ending Stocks,World,463.0,1421.0,1455.0,1383.0,1093.0,856.0,1163.0,1543.0,1542.0,4646.0,3547.0,3301.0,2837.0,3498.0,3188.0,3918.0,3993.0,3583.0,3760.0,2933.0,2940.0,2964.0,2744.0,3457.0,2920.0,2340.0,2104.0,1134.0,1078.0,690.0,714.0,713.0,1473.0,373.0,200.0,200.0,319.0,270.0,315.0,225.0,203.0,288.0,182.0,621.0,622.0,231.0,278.0,451.0,323.0,300.0,815.0,574.0,443.0,506.0,596.0,287.0,547.0,687.0,323.0,612.0,620.0,619.0,685.0,625.0,590.0,590.0,(1000 MT)
Mixed Grain,Ending Stocks,World,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,65.0,63.0,116.0,164.0,86.0,48.0,112.0,74.0,92.0,35.0,32.0,28.0,31.0,35.0,45.0,55.0,26.0,44.0,113.0,117.0,115.0,115.0,99.0,200.0,100.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
Oats,Ending Stocks,World,7112.0,6686.0,7677.0,8778.0,7149.0,7775.0,6723.0,6414.0,9596.0,11622.0,11867.0,11847.0,8585.0,6714.0,5432.0,5441.0,5161.0,7498.0,7149.0,5637.0,4374.0,4065.0,5211.0,4641.0,4237.0,4177.0,3698.0,3542.0,3090.0,4383.0,5028.0,3859.0,3592.0,4723.0,4676.0,2552.0,2746.0,4409.0,3732.0,2940.0,3104.0,3109.0,2385.0,2484.0,2642.0,2399.0,2063.0,2745.0,3779.0,3172.0,2334.0,2569.0,1594.0,2129.0,2240.0,2553.0,2797.0,2519.0,1818.0,1905.0,2588.0,2042.0,3202.0,2318.0,2031.0,2339.0,(1000 MT)
"Rice, Milled",Ending Stocks,World,10305.0,8320.0,12328.0,16025.0,16980.0,17868.0,18333.0,21045.0,24256.0,26100.0,28494.0,28473.0,23907.0,28909.0,28490.0,39050.0,38473.0,44460.0,54524.0,53771.0,52267.0,50088.0,56411.0,69017.0,87407.0,97380.0,102938.0,104865.0,111286.0,120213.0,126210.0,126344.0,122887.0,118688.0,117316.0,117660.0,119760.0,127033.0,133231.0,142216.0,145821.0,132181.0,102130.0,81007.0,73746.0,76294.0,75193.0,80759.0,93496.0,95857.0,101085.0,111071.0,122022.0,127304.0,134954.0,142621.0,150520.0,163785.0,176940.0,182497.0,188647.0,183923.0,180078.0,179461.0,190227.0,189280.0,(1000 MT)
Rye,Ending Stocks,World,4653.0,4531.0,5304.0,3395.0,3425.0,6192.0,4834.0,3501.0,4673.0,3464.0,3400.0,2923.0,2685.0,2024.0,2772.0,1633.0,2209.0,577.0,1341.0,1052.0,671.0,511.0,3423.0,4753.0,6252.0,5850.0,6922.0,4955.0,3773.0,3980.0,4980.0,3473.0,4833.0,4587.0,2865.0,1563.0,1652.0,2837.0,1256.0,561.0,558.0,1496.0,2413.0,684.0,992.0,943.0,594.0,589.0,1007.0,1079.0,685.0,448.0,604.0,717.0,614.0,415.0,618.0,560.0,302.0,279.0,464.0,430.0,570.0,422.0,422.0,373.0,(1000 MT)
Sorghum,Ending Stocks,World,21841.0,21589.0,22744.0,22245.0,19994.0,14335.0,12903.0,14840.0,13707.0,12081.0,7999.0,9226.0,7240.0,7500.0,8722.0,8966.0,9895.0,12589.0,12422.0,11116.0,11310.0,15393.0,17378.0,13912.0,13724.0,19042.0,23289.0,19974.0,15747.0,10180.0,7629.0,5834.0,9406.0,4128.0,4229.0,2869.0,5317.0,4995.0,6317.0,5188.0,3901.0,4835.0,4424.0,5523.0,4601.0,5018.0,3834.0,6121.0,6124.0,4513.0,5535.0,4260.0,3577.0,4617.0,4927.0,4495.0,4791.0,4240.0,5093.0,3676.0,3956.0,4262.0,3993.0,3972.0,4631.0,4007.0,(1000 MT)
Wheat,Ending Stocks,World,72657.0,60290.0,63801.0,60688.0,69031.0,48975.0,77560.0,86339.0,109228.0,95321.0,73065.0,79323.0,66415.0,72161.0,67395.0,75612.0,115311.0,99789.0,122107.0,109337.0,99116.0,101072.0,116007.0,134885.0,148932.0,158657.0,170154.0,139398.0,118897.0,120840.0,150821.0,134850.0,154462.0,167123.0,152765.0,146407.0,153636.0,186026.0,193283.0,192420.0,188200.0,184905.0,150961.0,124946.0,129431.0,130598.0,119987.0,116370.0,150866.0,186681.0,186136.0,184558.0,166858.0,186747.0,208847.0,228290.0,254228.0,269400.0,268009.0,284747.0,274554.0,261642.0,258383.0,254256.0,248281.0,264038.0,(1000 MT)
Allgrain,Ending Stocks,World,185038.0,165247.0,169424.0,174462.0,176562.0,139216.0,171166.0,192431.0,222223.0,210413.0,176850.0,198353.0,162694.0,172016.0,172437.0,196325.0,256897.0,256180.0,306951.0,303612.0,280838.0,307274.0,360723.0,327390.0,391253.0,478769.0,532714.0,491713.0,417770.0,408133.0,456890.0,432851.0,478392.0,450558.0,455846.0,418059.0,465509.0,509606.0,542808.0,545022.0,527181.0,493407.0,402266.0,335381.0,356729.0,348796.0,318804.0,342582.0,406442.0,438614.0,421807.0,435350.0,451918.0,550327.0,640310.0,704505.0,775177.0,790566.0,786230.0,797580.0,776688.0,768938.0,759377.0,765554.0,747462.0,759888.0,(1000 MT)
