crop,magnitude_level,harvest_coverage_pct,production_difference,percentage_change
whea,0.0,0.0,0.0,0.0
whea,1.0,16.666666666666664,-11677.030597388744,-0.002445525216317124
whea,2.0,33.33333333333333,-37182.08901166916,-0.006981407446056713
whea,3.0,50.0,-87751.06717681885,-0.01596097333202147
whea,4.0,66.66666666666666,-110869.24339580536,-0.020054604398438005
whea,5.0,83.33333333333334,-115968.0,-0.02097030965231412
whea,6.0,100.0,-115968.0,-0.02097030965231412
maiz,0.0,0.0,0.0,0.0
maiz,1.0,16.666666666666664,-17.140066623687744,-4.347888891085279e-06
maiz,2.0,33.33333333333333,-1614.3302923440933,-0.0003773095601464843
maiz,3.0,50.0,-5257.423083603382,-0.0012014785962174998
maiz,4.0,66.66666666666666,-6870.843624830246,-0.001561158719417828
maiz,5.0,83.33333333333334,-7578.420103430748,-0.0017205031380620333
maiz,6.0,100.0,-7616.0,-0.0017290262756054808
rice,0.0,0.0,0.0,0.0
rice,1.0,16.666666666666664,-6234.257583171129,-0.00623740492276559
rice,2.0,33.33333333333333,-73025.11421911418,-0.06652567412846672
rice,3.0,50.0,-301574.2959654033,-0.2663521043148135
rice,4.0,66.66666666666666,-441399.4151560217,-0.38758296177554424
rice,5.0,83.33333333333334,-457139.5921114534,-0.40122815632326475
rice,6.0,100.0,-458632.0,-0.40253003633506057
